N;Periodi;Inflazione annua;Inflazione mensile;Inflazione Media (Valore parziale);Indice Dal;Indice Al;
241;Gennaio-2019  Gennaio-2020;0,5%;0,1%;1,8%;102,4;102,9;
242;Febbraio-2019  Febbraio-2020;0,3%;-0,1%;1,8%;102,5;102,8;
243;Marzo-2019  Marzo-2020;0,1%;0,1%;1,7%;102,8;102,9;
244;Aprile-2019  Aprile-2020;0,0%;0,1%;1,7%;103;103;
245;Maggio-2019  Maggio-2020;-0,2%;-0,2%;1,7%;103;102,8;
246;Giugno-2019  Giugno-2020;-0,2%;0,1%;1,7%;103,1;102,9;
247;Luglio-2019  Luglio-2020;-0,4%;-0,2%;1,7%;103,1;102,7;
248;Agosto-2019  Agosto-2020;-0,5%;0,3%;1,7%;103,5;103;
249;Settembre-2019  Settembre-2020;-0,6%;-0,7%;1,7%;102,9;102,3;
250;Ottobre-2019  Ottobre-2020;-0,3%;0,2%;1,7%;102,8;102,5;
251;Novembre-2019  Novembre-2020;-0,2%;-0,1%;1,7%;102,6;102,4;
252;Dicembre-2019  Dicembre-2020;-0,2%;0,2%;1,7%;102,8;102,6;
253;Gennaio-2020  Gennaio-2021;0,4%;0,7%;1,7%;102,9;103,3;
254;Febbraio-2020  Febbraio-2021;0,6%;0,1%;1,7%;102,8;103,4;
255;Marzo-2020  Marzo-2021;0,8%;0,3%;1,7%;102,9;103,7;
256;Aprile-2020  Aprile-2021;1,1%;0,4%;1,7%;103;104,1;
257;Maggio-2020  Maggio-2021;1,3%;0,0%;1,7%;102,8;104,1;
258;Giugno-2020  Giugno-2021;1,3%;0,1%;1,7%;102,9;104,2;
259;Luglio-2020  Luglio-2021;1,9%;0,5%;1,7%;102,7;104,7;
260;Agosto-2020  Agosto-2021;2,0%;0,4%;1,7%;103;105,1;
261;Settembre-2020  Settembre-2021;2,5%;-0,2%;1,7%;102,3;104,9;
262;Ottobre-2020  Ottobre-2021;3,0%;0,7%;1,7%;102,5;105,6;
263;Novembre-2020  Novembre-2021;3,7%;0,6%;1,7%;102,4;106,2;
264;Dicembre-2020  Dicembre-2021;3,9%;0,4%;1,7%;102,6;106,6;
265;Gennaio-2021  Gennaio-2022;4,8%;1,6%;1,7%;103,3;108,3;
266;Febbraio-2021  Febbraio-2022;5,7%;0,9%;1,7%;103,4;109,3;
267;Marzo-2021  Marzo-2022;6,5%;1,0%;1,7%;103,7;110,4;
268;Aprile-2021  Aprile-2022;6,0%;-0,1%;1,7%;104,1;110,3;
269;Maggio-2021  Maggio-2022;6,8%;0,8%;1,8%;104,1;111,2;
270;Giugno-2021  Giugno-2022;8,0%;1,2%;1,8%;104,2;112,5;
271;Luglio-2021  Luglio-2022;7,9%;0,4%;1,8%;104,7;113;
272;Agosto-2021  Agosto-2022;8,4%;0,8%;1,8%;105,1;113,9;
273;Settembre-2021  Settembre-2022;8,9%;0,3%;1,8%;104,9;114,2;
274;Ottobre-2021  Ottobre-2022;11,8%;3,4%;1,9%;105,6;118,1;
275;Novembre-2021  Novembre-2022;11,8%;0,5%;1,9%;106,2;118,7;
276;Dicembre-2021  Dicembre-2022;11,6%;0,3%;1,9%;106,6;119;
277;Gennaio-2022  Gennaio-2023;10,0%;0,1%;2%;108,3;119,1;
278;Febbraio-2022  Febbraio-2023;9,1%;0,2%;2%;109,3;119,3;
279;Marzo-2022  Marzo-2023;7,6%;-0,4%;2%;110,4;118,8;
280;Aprile-2022  Aprile-2023;8,2%;0,4%;2%;110,3;119,3;
281;Maggio-2022  Maggio-2023;7,6%;0,3%;2,1%;111,2;119,7;
282;Giugno-2022  Giugno-2023;6,4%;0,0%;2,1%;112,5;119,7;
283;Luglio-2022  Luglio-2023;5,9%;0,0%;2,1%;113;119,7;
284;Agosto-2022  Agosto-2023;5,4%;0,3%;2,1%;113,9;120,1;
285;Settembre-2022  Settembre-2023;5,3%;0,2%;2,1%;114,2;120,3;
286;Ottobre-2022  Ottobre-2023;1,7%;-0,2%;2,1%;118,1;120,1;
287;Novembre-2022  Novembre-2023;0,7%;-0,5%;2,1%;118,7;119,5;
288;Dicembre-2022  Dicembre-2023;0,6%;0,2%;2,1%;119;119,7;
289;Gennaio-2023  Gennaio-2024;0,8%;0,3%;2,1%;119,1;120,1;
290;Febbraio-2023  Febbraio-2024;0,8%;0,1%;2,1%;119,3;120,2;
291;Marzo-2023  Marzo-2024;1,2%;0,0%;2,1%;118,8;120,2;
292;Aprile-2023  Aprile-2024;0,8%;0,1%;2,1%;119,3;120,3;
293;Maggio-2023  Maggio-2024;0,8%;0,2%;2,1%;119,7;120,6;
294;Giugno-2023  Giugno-2024;0,8%;0,1%;2,1%;119,7;120,7;
295;Luglio-2023  Luglio-2024;1,3%;0,4%;2,1%;119,7;121,2;
296;Agosto-2023  Agosto-2024;1,1%;0,2%;2,1%;120,1;121,4;
297;Settembre-2023  Settembre-2024;0,7%;-0,2%;2,1%;120,3;121,2;
298;Ottobre-2023  Ottobre-2024;0,9%;0,0%;2,1%;120,1;121,2;
299;Novembre-2023  Novembre-2024;1,3%;-0,1%;2,1%;119,5;121,1;
300;Dicembre-2023  Dicembre-2024;1,3%;0,1%;2,1%;119,7;121,2;
301;Gennaio-2024  Gennaio-2025;1,5%;0,6%;2%;120,1;121,9;
302;Febbraio-2024  Febbraio-2025;1,6%;0,2%;2%;120,2;122,1;
303;Marzo-2024  Marzo-2025;1,9%;0,3%;2%;120,2;122,5;
304;Aprile-2024  Aprile-2025;1,9%;0,1%;2%;120,3;122,6;
305;Maggio-2024  Maggio-2025;1,6%;-0,1%;2%;120,6;122,5;
306;Giugno-2024  Giugno-2025;1,7%;0,2%;2%;120,7;122,7;
307;Luglio-2024  Luglio-2025;1,7%;0,4%;2%;121,2;123,2;

